,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
FKBP1C,0.9704,0.02959999999999996,3.4899336687670752,1.8300377e-06,1.0839955e-05,1e-07,0.5,-5.718202,-6.364669,3.1642253,-12.880309,5.714262,0.0035241363,0.007814044,0.006307617661329451,0.022727272727272728,0.03440495,0.06211315,True,Tumor vs Normal,Tumor,Normal
TRBV10-3,0.9598,0.040200000000000014,3.172857695461819,2.8861834e-07,2.390274e-06,1e-07,0.5,-5.7121663,-6.337392,3.0620933,-12.900909,7.202775,0.001087047,0.0,0.0009704027171276079,0.0,0.009696355,0.0,True,Tumor vs Normal,Tumor,Normal
SLC9A3,0.9401999999999999,0.059800000000000075,2.7550868010454113,7.924485e-07,5.3742683e-06,1e-07,0.5,-5.6837134,-6.505786,2.7647142,-11.299126,3.1286182,0.001106398,0.021037005,0.0024260067928190197,0.045454545454545456,0.009256694,0.19853574,True,Tumor vs Normal,Tumor,Normal
TRBV7-2,0.964,0.03600000000000003,3.2875720887501396,8.1773567e-07,4.5998095e-06,1e-07,0.5,-5.670568,-6.1631355,3.4652572,-15.6940775,7.0530834,0.0026559047,0.0,0.0029112081513828236,0.0,0.022384934,0.0,True,Tumor vs Normal,Tumor,Normal
NAPSA,0.97,0.030000000000000027,3.476098366811273,6.8482786e-06,7.281492e-05,1e-07,0.5,-5.6243806,-5.7232904,3.4216297,-15.312294,5.6706867,0.022753218,0.24336791,0.033478893740902495,0.3181818181818182,0.20723027,2.0540462,True,Tumor vs Normal,Tumor,Normal
TRBV7-6,0.9598,0.040200000000000014,3.172857695461819,2.6179592e-07,1.3417564e-06,1e-07,0.5,-5.600734,-6.188884,3.1475656,-13.733274,7.114703,0.00016979575,0.0,0.00048520135856380397,0.0,0.0014575642,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV27,0.9488,0.05120000000000002,2.9194583114251467,1.36647e-07,8.260719e-07,1e-07,0.5,-5.5901732,-6.18079,3.0441744,-14.030506,6.9106216,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV19,0.9508000000000001,0.04919999999999991,2.9614099192532253,4.647221e-07,3.285244e-06,1e-07,0.5,-5.563238,-6.02094,3.4998374,-16.389954,8.515877,0.0,0.0,0.0,0.0,0.0,0.0,True,Tumor vs Normal,Tumor,Normal
AC124312.1,0.9476,0.0524,2.8950257006709337,1.647487e-07,1.3561126e-06,1e-07,0.5,-5.556534,-6.1346426,2.804812,-12.095793,3.9754333,0.00027053797,0.0,0.0009704027171276079,0.0,0.0020638665,0.0,True,Tumor vs Normal,Tumor,Normal
TRBV20-1,0.9601999999999999,0.03980000000000006,3.1832744429646938,9.4164915e-07,5.9876284e-06,1e-07,0.5,-5.5549116,-6.0761414,3.6720805,-16.223885,8.554854,0.0027579889,0.0,0.0029112081513828236,0.0,0.020641051,0.0,True,Tumor vs Normal,Tumor,Normal
