,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
ARHGAP32,0.9704,0.02959999999999996,3.4899336687670752,1.13098495e-05,4.2396605e-05,1e-07,0.5,-1.9236978,-1.9806862,0.64664763,-3.8379745,0.9752369,0.0,0.0638991,0.0,0.26666666666666666,0.0,0.44652802,True,Left vs Right,Left,Right
ACVR1C,0.928,0.07199999999999995,2.556365485657129,4.973962e-07,1.9586175e-06,1e-07,0.5,-1.9206146,-1.9909239,0.8685114,-4.5546207,0.99038315,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
SCYL2,0.9994,0.0006000000000000449,7.417964066154244,1.2412396e-05,4.6771398e-05,1e-07,0.5,-1.9176756,-1.9161925,0.4810655,-3.709488,-0.25053406,0.0,0.022676362,0.0,0.06666666666666667,0.0,0.16303612,True,Left vs Right,Left,Right
COL9A1,0.9359999999999999,0.06400000000000006,2.6827322475516926,1.2060935e-05,2.9657429e-06,1e-07,0.5,1.9162512,1.8952703,0.9478911,-1.306097,5.5716257,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
OSR2,0.9216,0.07840000000000003,2.4642872458849463,1.3682963e-05,5.424752e-05,1e-07,0.5,-1.9160267,-1.9836664,1.0331755,-4.878232,2.018134,0.0,0.14725012,0.0,0.4666666666666666,0.0,1.0640357,True,Left vs Right,Left,Right
HMGN3-AS1,0.9351999999999999,0.06480000000000008,2.6694546631715523,2.9979212e-06,8.569647e-07,1e-07,0.5,1.9158844,1.866869,0.95315284,-0.6998596,5.3430443,0.0,0.012547174,0.0,0.06666666666666667,0.0,0.08457825,True,Left vs Right,Left,Right
FRRS1,0.9348000000000001,0.06519999999999992,2.662872991055351,8.5378167e-07,3.135867e-06,1e-07,0.5,-1.9151394,-1.9755135,0.9795375,-4.94355,2.1613426,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
OSCP1,0.9892,0.010800000000000032,4.517349485700766,2.0649217e-05,5.5327178e-06,1e-07,0.5,1.9126848,1.9210901,0.5657451,-0.35129738,3.7420998,0.14021379,0.011371843,0.125,0.06666666666666667,1.4053824,0.076731704,True,Left vs Right,Left,Right
LAMA1,0.9792,0.02080000000000004,3.8517824544940904,1.0619813e-06,3.9621314e-06,1e-07,0.5,-1.9105417,-1.8876705,0.7246119,-4.5704536,0.57759476,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
SFMBT2,0.9208,0.07920000000000005,2.4532664431847957,3.0855406e-06,1.188057e-05,1e-07,0.5,-1.9104984,-1.9887629,0.9876285,-4.9486475,1.9665604,0.0,0.0,0.0,0.0,0.0,0.0,True,Left vs Right,Left,Right
