,proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,log10_bf
ARHGAP24,0.9440000000000001,0.05599999999999994,2.8247743074321603,5.2520056e-07,2.4742346e-06,1e-07,0.25,-2.6546292,-2.6721096,2.6650496,-12.379618,6.143091,0.0011630822,0.0040189875,0.0034071550255536627,0.00966183574879227,0.010248598,0.037223622,True,0.45098375448857486
VPS13A,0.9548000000000001,0.04519999999999991,3.0504045968609756,1.8626071e-05,0.00012560214,1e-07,0.25,-2.6519055,-2.6369238,1.9966756,-10.352102,4.1284933,0.042289626,0.18044603,0.11470755252697339,0.21359558316079932,0.38994205,1.8148279,True,0.48435744674806924
C21orf58,0.9516,0.0484,2.978644768603285,6.5342106e-06,5.8004243e-05,1e-07,0.25,-2.651722,-2.6155949,2.6933312,-12.287341,6.978099,0.012089931,0.06860682,0.0318001135718342,0.07936507936507907,0.1094212,0.68393135,True,0.4740187126172034
TMEM9B-AS1,0.9564,0.04359999999999997,3.088118866327286,3.996557e-07,3.5119147e-06,1e-07,0.25,-2.6508746,-2.9526396,2.529482,-9.546501,6.1689987,0.0006203896,0.006544366,0.0028392958546280523,0.006901311249137339,0.00460489,0.07130131,True,0.4896940086455367
BHLHB9,0.9398,0.06020000000000003,2.747994578881558,5.678697e-07,3.0327003e-06,1e-07,0.25,-2.6505198,-2.524045,2.7783473,-12.237156,7.9375057,0.0010490809,0.005094303,0.0051107325383304945,0.006556245686680472,0.007638543,0.054577556,True,0.43901587164780476
LDLR,0.9551999999999999,0.04480000000000006,3.0597123904721473,4.7662383e-05,0.00018132277,1e-07,0.25,-2.6501381,-2.6749268,2.9089885,-11.680631,8.919198,0.10207057,0.28068635,0.18796138557637718,0.28536922015182997,0.8527543,2.8643928,True,0.4856806052208475
MCTP2,0.9526,0.0474,3.0005726591928727,1.0664252e-05,6.7724584e-05,1e-07,0.25,-2.649936,-2.5597944,2.2614362,-10.644013,4.6480074,0.01900416,0.09645333,0.059625212947189137,0.1314699792960656,0.16881916,0.96254283,True,0.47720414773197356
TNFRSF25,0.9565999999999999,0.043400000000000105,3.092925670178805,6.59988e-06,4.7724323e-05,1e-07,0.25,-2.6487622,-2.634009,2.144099,-10.169929,6.600095,0.012295984,0.07025813,0.04486087450312325,0.07591442374051043,0.11636503,0.7313153,True,0.4903694830889713
SZT2,0.9580000000000001,0.041999999999999926,3.1271779320306976,5.9921017e-06,4.6583722e-05,1e-07,0.25,-2.6487489,-2.621108,1.7996142,-8.718751,3.514513,0.008643904,0.080446966,0.0369108461101647,0.09868875086266347,0.07724213,0.8637117,True,0.4951525927056945
FUT6,0.9618,0.03820000000000001,3.225970761848134,1.4209132e-05,8.676201e-05,1e-07,0.25,-2.648,-2.619141,1.8129776,-11.961683,5.090519,0.028295087,0.13752079,0.0789324247586599,0.17253278122843246,0.2641199,1.4339862,True,0.5086604269146509
ENO3,0.9538,0.04620000000000002,3.0274740018106154,2.0617122e-06,1.4246955e-05,1e-07,0.25,-2.6463633,-2.6756725,2.1764069,-9.893206,5.6468334,0.0032214627,0.019632464,0.013060760931289047,0.026915113871635633,0.026528748,0.19651699,True,0.48108042237653037
PLEKHG2,0.9506,0.0494,2.9571427480765746,2.1347053e-06,1.1441696e-05,1e-07,0.25,-2.6452796,-2.7056284,2.3065326,-9.592832,5.870886,0.0032850194,0.014161963,0.007950028392958549,0.02553485162180816,0.031635534,0.14283904,True,0.47087228943955983
PROSER3,0.9468,0.053200000000000025,2.879029303884215,3.4986988e-06,3.0462908e-05,1e-07,0.25,-2.6452699,-2.6560583,2.1406147,-9.26499,4.5410423,0.0061119725,0.04729082,0.0210107893242476,0.055900621118012285,0.053014383,0.51576996,True,0.4592460853344468
TUBGCP6,0.9546,0.045399999999999996,3.0457800897357927,7.755677e-06,5.885324e-05,1e-07,0.25,-2.6446388,-2.713543,1.805055,-7.6836643,3.7890282,0.009954224,0.078688964,0.03520726859738787,0.09351276742581051,0.0848223,0.8383672,True,0.4836985433800038
JUN,0.9554,0.04459999999999997,3.0643960281814424,0.0004630787,0.002351056,1e-07,0.25,-2.643822,-2.726091,2.2592175,-8.679963,4.976908,0.6704073,1.763202,0.517887563884157,0.8533471359558176,6.0086536,18.851255,True,0.48634489078532106
FAM72B,0.9424,0.057599999999999985,2.794907082195586,4.6070656e-07,2.857395e-06,1e-07,0.25,-2.6437213,-2.7267475,2.755672,-11.343226,7.2537575,0.000976525,0.0052426825,0.0028392958546280523,0.00793650793650794,0.008120933,0.048966214,True,0.4463673741841321
SPG7,0.9585999999999999,0.0414000000000001,3.1421927747802747,2.4236264e-05,0.00015160904,1e-07,0.25,-2.6386771,-2.616786,1.7395837,-8.409003,4.663124,0.05046721,0.22705492,0.1368540601930722,0.2657004830917871,0.44986886,2.3399072,True,0.4972328256748452
CIITA,0.9396,0.06040000000000001,2.744464992923915,9.565994e-07,1.110991e-05,1e-07,0.25,-2.63845,-2.6511059,3.480616,-13.2231045,9.022291,0.002023624,0.016053759,0.005678591709256105,0.015527950310558994,0.017580964,0.17555736,True,0.4384576955171585
DISP2,0.9524,0.047599999999999976,2.996152153791112,6.237818e-07,3.920496e-06,1e-07,0.25,-2.6379955,-2.6666937,2.2122362,-9.996174,5.5668926,0.0015174041,0.005421075,0.0051107325383304945,0.013457556935817797,0.0129667055,0.053177692,True,0.47656386440707454
SLX4,0.9468,0.053200000000000025,2.879029303884215,2.1157625e-06,1.4593926e-05,1e-07,0.25,-2.6377175,-2.585041,2.6505282,-11.8942995,6.8133497,0.0040953304,0.016606195,0.013628620102214658,0.021739130434782615,0.037204508,0.18317665,True,0.4592460853344468
RC3H1,0.9644,0.035599999999999965,3.2991602379193363,1.8020217e-05,0.00011401573,1e-07,0.25,-2.6377046,-2.6858234,1.7016474,-8.040279,4.5859365,0.033884864,0.19767994,0.0999432140829075,0.23878536922015042,0.29322407,2.042914,True,0.5184034094518548
CDKN2B,0.9506,0.0494,2.9571427480765746,1.09140765e-05,7.260028e-05,1e-07,0.25,-2.6357734,-2.6961074,2.300229,-11.344799,6.0749683,0.019647423,0.11413718,0.04770017035775131,0.1459627329192539,0.17164361,1.2024971,True,0.47087228943955983
ASH1L-AS1,0.9616,0.03839999999999999,3.2205408541699643,4.724243e-06,2.897509e-05,1e-07,0.25,-2.6344051,-2.669948,1.9746846,-9.29294,5.4114857,0.008155347,0.0534951,0.03577512776831348,0.07246376811594178,0.06536378,0.5431541,True,0.5079288127828688
NBEAL2,0.951,0.049000000000000044,2.9656935708683982,1.8848714e-05,0.00013398429,1e-07,0.25,-2.6332388,-2.6580372,2.0981076,-9.101765,5.8966312,0.037234697,0.18692298,0.09653605905735384,0.19910282953761102,0.332725,1.997972,True,0.4721262757171364
